Training	Test	Mean	SD
AT_CRC	AT_CRC	0.982229123533471	0.00754344407859995
CN_CRC	AT_CRC	0.69835870116692	0.0167160864722276
DE_CRC	AT_CRC	0.629258333333333	0.0186483686153499
FR_CRC	AT_CRC	0.725935663470461	0.0146804577410196
US_CRC	AT_CRC	0.608176100628931	0.0218015044585402
AT_CRC	CN_CRC	0.788636991028295	0.0150792693670961
CN_CRC	CN_CRC	0.959989852866565	0.0152377767056254
DE_CRC	CN_CRC	0.754202777777778	0.016881040646119
FR_CRC	CN_CRC	0.793832353850912	0.0105729493526317
US_CRC	CN_CRC	0.663409467063886	0.0132318455148754
AT_CRC	DE_CRC	0.607211870255349	0.032147022881442
CN_CRC	DE_CRC	0.61581938102486	0.0257208680469673
DE_CRC	DE_CRC	0.963261111111111	0.0119927065065725
FR_CRC	DE_CRC	0.640547479121559	0.0293300386925886
US_CRC	DE_CRC	0.583257199602781	0.0200751450293094
AT_CRC	FR_CRC	0.788153899240856	0.0121706201538742
CN_CRC	FR_CRC	0.783675799086758	0.0100015289552236
DE_CRC	FR_CRC	0.738383333333333	0.015399873311726
FR_CRC	FR_CRC	0.965852149706155	0.00641745807284252
US_CRC	FR_CRC	0.618295266468057	0.0135032468619641
AT_CRC	US_CRC	0.596038647342995	0.0207477107920683
CN_CRC	US_CRC	0.71812531709792	0.0206408321071191
DE_CRC	US_CRC	0.677208333333333	0.019574376488845
FR_CRC	US_CRC	0.658107021342407	0.0185691934342281
US_CRC	US_CRC	0.979102946044356	0.00798782854260607
